Nationality,Shirt number,Name,PlayerID,Coach,Speciality,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set pieces,Last match date,Last match rating,Last match position,Category
USA,16,Hossam Ayoub,456729161,,,1,,,,18,36,1230,410,0,1,5,20,4,7,1,2,4,5,5,7,6,,,,
USA,4,Peter Krüsch,456729148,,,1,,,,18,51,720,390,0,1,5,20,4,6,1,7,4,3,4,2,6,,,,
USA,9,Longino Arreola,456729153,,,1,,,,19,55,840,330,0,2,2,20,4,5,1,5,6,3,6,3,5,,,,
USA,13,Homero Elías Calles,456729158,,,1,,,,20,74,1430,330,0,3,2,20,6,6,1,5,6,6,5,2,4,,,,
USA,8,Philip Lehman,456729152,,,1,,,,21,28,760,310,0,2,6,20,6,6,1,5,6,4,4,2,5,,,,
USA,1,Phil Peeples,456729145,,Technical,1,,,,21,77,2220,990,0,2,3,20,6,6,6,3,1,1,1,1,5,,,,
USA,15,Pacífico Alpízar,456729160,,Quick,1,,,,22,8,1860,350,0,3,7,20,5,6,1,5,5,7,6,2,5,,,,
USA,10,Cole Frampton,456729154,,Technical,1,,,,23,61,1260,430,0,3,3,20,5,6,1,6,7,2,4,2,5,,,,
USA,12,Steven Shotwell,456729157,,,1,,,,24,48,1010,410,0,3,2,20,6,6,1,4,7,3,5,3,4,,,,
USA,18,Roy Belcher,456729163,,Unpredictable,1,,,,25,33,940,310,0,4,2,20,4,6,1,3,5,3,6,6,2,,,,
USA,11,Austin Liner,456729155,,,1,,,,25,102,940,330,0,3,4,20,7,6,2,5,6,3,5,3,6,,,,
USA,6,Israel Vernon,456729150,,Unpredictable,1,,,,26,20,1040,390,0,4,7,20,4,7,1,7,4,6,3,1,6,,,,
USA,2,Jack McCray,456729146,,Unpredictable,1,,,,27,26,1520,830,0,4,5,20,6,6,6,5,1,1,2,1,3,,,,
USA,14,Tom Hayden,456729159,,,1,,,,27,59,790,290,0,5,2,20,4,6,1,5,5,6,4,3,4,,,,
USA,3,Demetrius Machen,456729147,,,1,,,,28,61,470,300,0,5,6,20,4,6,1,6,6,3,1,1,3,,,,
USA,5,Jared Vernon,456729149,,Powerful,1,,,,30,55,270,280,0,6,3,20,6,5,1,6,5,4,3,2,7,,,,
USA,7,Joey Cartwright,456729151,,,1,,,,31,77,1100,310,0,6,2,20,7,6,2,6,5,6,6,3,6,,,,
USA,17,Mazen Dergham,456729162,,Unpredictable,1,,,,33,15,230,310,0,6,1,20,5,7,1,2,5,4,4,7,4,,,,
USA,,Rogelio Nakamura,456729144,1,,1,,,,40,80,0,250,0,7,4,20,2,5,2,1,1,2,2,2,1,,,,
