Nationality,Shirt number,Name,PlayerID,Coach,Specialty,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set Pieces,Last match date,Last match rating,Last match position,Category
Česká republika,,Leopold Vach,456723553,,,,,,,17,4,1100,348,0,2,5,1,6,5,1,5,5,6,5,5,2,,,,
Italia,,Daniele Passarin,456724261,,Unpredictable,,,,,17,9,570,324,0,1,3,1,6,5,1,4,5,4,5,5,3,,,,
Polska,,Sergiusz Soplica,456678217,,Head,,,,,17,10,250,300,0,2,6,2,6,4,1,3,5,5,4,3,3,,,,
Italia,,Samuele Camaiani,456682655,,Technical,,,,,17,11,380,324,0,1,4,2,6,5,1,4,5,6,3,3,5,,,,
Colombia,,Giovanni Plazas,456706688,,Quick,,,,,17,13,410,324,0,1,4,1,6,5,1,5,5,4,5,3,3,11/25/20,2,LB,
China,,Yuanfu Fu,456646544,,Quick,,,,,17,13,420,348,0,2,5,2,6,5,1,3,6,5,3,3,1,11/25/20,1.5,FW,
Česká republika,,František Panec,456726327,,Head,,,,,17,16,450,348,0,1,3,1,6,5,1,3,6,4,4,5,2,,,,
România,,Andrei Dochioiu,456149773,,,,,,,17,25,1050,324,0,2,3,1,6,5,1,6,5,6,5,3,4,11/25/20,3.5,CD,
Schweiz,,Detlef Wetter,455968395,,Unpredictable,,,,,17,36,610,324,0,1,3,1,8,5,1,4,5,4,5,5,1,11/18/20,2.5,IM,
USA,16,Hossam Ayoub,456729161,,,1,,,,18,39,1350,410,0,1,5,20,5,7,1,2,4,5,5,7,6,,,,
USA,4,Peter Krüsch,456729148,,,1,,,,18,54,790,390,0,1,5,20,5,6,1,7,4,3,4,2,6,,,,
USA,9,Longino Arreola,456729153,,,1,,,,19,58,910,330,0,2,2,20,5,5,1,5,6,3,6,3,5,,,,
USA,13,Homero Elías Calles,456729158,,,1,,,,20,77,1430,330,0,3,2,20,6,6,1,5,6,6,5,2,4,,,,
USA,8,Philip Lehman,456729152,,,1,,,,21,31,770,310,0,2,6,20,6,6,1,5,6,4,4,2,5,,,,
USA,1,Phil Peeples,456729145,,Technical,1,,,,21,80,2220,990,0,2,3,20,6,6,6,3,1,1,1,1,5,,,,
USA,15,Pacífico Alpízar,456729160,,Quick,1,,,1,22,11,1890,350,0,3,7,20,6,6,1,5,5,7,6,2,5,,,,
USA,10,Cole Frampton,456729154,,Technical,1,,,,23,64,1310,430,0,3,3,20,5,6,1,6,7,2,4,2,5,,,,
USA,12,Steven Shotwell,456729157,,,1,,,,24,51,1000,410,0,3,2,20,6,6,1,4,7,3,5,3,4,,,,
USA,18,Roy Belcher,456729163,,Unpredictable,1,,,,25,36,1010,310,0,4,2,20,5,6,1,3,5,3,6,6,2,,,,
USA,11,Austin Liner,456729155,,,1,,,,25,105,910,330,0,3,4,20,7,6,2,5,6,3,5,3,6,,,,
USA,6,Israel Vernon,456729150,,Unpredictable,1,,,,26,23,1140,390,0,4,7,20,5,7,1,7,4,6,3,1,6,,,,
USA,2,Jack McCray,456729146,,Unpredictable,1,,,,27,29,1550,830,0,4,5,20,6,6,6,5,1,1,2,1,3,,,,
USA,14,Tom Hayden,456729159,,,1,,,,27,62,860,290,0,5,2,20,5,5,1,5,5,6,4,3,4,,,,
USA,3,Demetrius Machen,456729147,,,1,,,,28,64,510,300,0,5,6,20,5,6,1,6,6,3,1,1,3,,,,
USA,5,Jared Vernon,456729149,,Powerful,1,,,,30,58,280,280,0,6,3,20,6,5,1,6,5,4,3,2,7,,,,
USA,7,Joey Cartwright,456729151,,,1,,,,31,80,1040,310,0,6,2,20,7,6,2,6,5,6,6,3,6,,,,
USA,17,Mazen Dergham,456729162,,Unpredictable,1,,,,33,18,240,310,0,6,1,20,5,6,1,2,5,4,4,7,4,,,,
USA,,Rogelio Nakamura,456729144,1,,1,,,,40,83,0,250,0,7,4,20,4,4,2,1,1,2,2,2,1,,,,
