Nationality,Shirt number,Name,PlayerID,Coach,Specialty,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set Pieces,Last match date,Last match rating,Last match position,Category
Česká republika,,Leopold Vach,456723553,,,,,,,17,10,1250,348,0,2,5,3,6,5,1,5,5,6,5,5,2,12/2/20,2.5,RW,
Italia,,Daniele Passarin,456724261,,Unpredictable,,,,,17,15,530,324,0,1,3,3,4,5,1,4,5,4,5,5,3,11/29/20,0,RW,
Polska,,Sergiusz Soplica,456678217,,Head,,,,,17,16,240,300,0,2,6,3,5,5,1,3,5,5,4,3,3,12/2/20,1.5,RB,
Italia,,Samuele Camaiani,456682655,,Technical,,,,,17,17,320,324,0,1,4,3,5,4,1,4,5,6,3,3,5,,,,
Colombia,,Giovanni Plazas,456706688,,Quick,,,,,17,19,470,324,0,1,4,3,7,5,1,5,5,4,5,3,3,11/29/20,0,RB,
China,,Yuanfu Fu,456646544,,Quick,,,,,17,19,480,348,0,2,5,3,7,5,1,3,6,5,3,3,1,12/2/20,1.5,LB,
Česká republika,,František Panec,456726327,,Head,,,,,17,22,460,348,0,1,3,3,5,5,1,3,6,4,4,5,2,12/2/20,2,LW,
România,,Andrei Dochioiu,456149773,,,,,,,17,31,990,324,0,2,3,3,5,5,1,6,5,6,5,3,4,11/29/20,0,LB,
Israel,,Achikam Givon,456036567,,Unpredictable,,,1,,17,39,830,372,0,2,3,3,6,5,1,5,6,4,5,5,4,11/29/20,2,RB,
Schweiz,,Detlef Wetter,455968395,,Unpredictable,,,,,17,42,680,324,0,1,3,3,8,5,1,4,5,5,5,5,1,11/29/20,0,LW,
USA,16,Hossam Ayoub,456729161,,,1,,,,18,45,1440,410,1,1,5,20,5,7,1,2,4,5,5,7,6,11/29/20,0,FW,
USA,4,Peter Krüsch,456729148,,,1,,,,18,60,840,390,1,1,5,20,5,6,1,7,4,3,4,2,6,11/29/20,0,CD,
USA,9,Longino Arreola,456729153,,,1,,,,19,64,890,330,1,2,2,20,4,5,1,5,6,3,6,3,5,11/29/20,0,IM,
USA,13,Homero Elías Calles,456729158,,,1,,,,20,83,1460,330,1,3,2,20,6,6,1,5,6,6,5,2,4,12/2/20,4,IM,
USA,8,Philip Lehman,456729152,,,1,,,,21,37,770,310,1,2,6,20,6,6,1,5,6,4,4,2,5,,,,
USA,1,Phil Peeples,456729145,,Technical,1,,,,21,86,1850,990,1,2,3,20,4,6,6,3,1,1,1,1,5,12/2/20,3.5,GK,
USA,10,Cole Frampton,456729154,,Technical,1,,,,23,70,1340,430,1,3,3,20,6,6,1,6,7,2,4,2,5,12/2/20,4,IM,
USA,12,Steven Shotwell,456729157,,,1,,,,24,57,820,410,1,3,2,20,4,6,1,4,7,3,5,3,4,11/29/20,0,IM,
USA,18,Roy Belcher,456729163,,Unpredictable,1,,,,25,42,1060,310,1,4,2,20,5,6,1,3,5,3,6,6,2,11/29/20,0,FW,
USA,11,Austin Liner,456729155,,,1,,,,25,111,790,330,1,3,4,20,5,6,2,5,6,3,5,3,6,,,,
USA,6,Israel Vernon,456729150,,Unpredictable,1,,,,26,29,1060,390,1,4,7,20,4,7,1,7,4,6,3,1,6,12/2/20,3.5,CD,
USA,2,Jack McCray,456729146,,Unpredictable,1,,,,27,35,1290,830,1,4,5,20,4,6,6,5,1,1,2,1,3,11/29/20,0,GK,
USA,14,Tom Hayden,456729159,,,1,,,,27,68,890,290,1,5,2,20,5,5,1,5,5,6,4,3,4,,,,
USA,3,Demetrius Machen,456729147,,,1,,,,28,70,530,300,1,5,6,20,5,6,1,6,6,3,1,1,3,12/2/20,3,CD,
USA,5,Jared Vernon,456729149,,Powerful,1,,,,30,64,280,280,1,6,3,20,6,5,1,6,5,4,3,2,7,11/29/20,0,CD,
USA,7,Joey Cartwright,456729151,,,1,,,,31,86,1010,310,1,6,2,20,7,6,2,6,5,6,6,3,6,12/2/20,4,FW,
USA,17,Mazen Dergham,456729162,,Unpredictable,1,,,,33,24,240,310,1,6,1,20,5,6,1,2,5,4,4,7,4,12/2/20,4.5,FW,
USA,,Rogelio Nakamura,456729144,1,,1,,,,40,89,0,250,1,7,4,20,4,4,1,1,1,1,2,1,1,,,,
