Nationality,Shirt number,Name,PlayerID,Coach,Speciality,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set pieces,Last match date,Last match rating,Last match position,Category
USA,,Destin Baum,446424248,1,,1,,,,40,38,0,250,0,6,4,20,2,5,2,1,2,2,2,1,4,,,,
USA,1,Leider Moncada,446424249,,Quick,1,,,,21,82,2200,990,0,2,1,20,6,5,6,2,1,1,1,1,6,,,,
USA,2,Stuart Bates,446424250,,Powerful,1,,,,27,100,1970,890,0,4,2,20,7,5,6,5,1,1,2,1,2,,,,
USA,3,Kalin Fischer,446424251,,Technical,1,,,,28,111,420,300,0,4,6,20,5,7,1,6,5,3,2,2,4,,,,
USA,4,Austin Sanders,446424252,,,1,,,,18,91,780,370,0,2,4,20,4,7,1,7,4,3,4,3,5,,,,
USA,5,Shane Savoy,446424253,,,1,,,,30,103,200,280,0,5,1,20,5,6,1,6,4,3,2,2,7,,,,
USA,6,Daniel Farrington,446424254,,,1,,,,26,13,1160,390,0,4,3,20,6,6,1,7,4,5,3,2,6,,,,
USA,7,Michael Rudolf Umbach,446424255,,Powerful,1,,,,31,84,860,310,0,6,2,20,7,6,2,6,6,5,5,3,6,,,,
USA,8,Eleazar Santana,446424256,,Quick,1,,,,21,16,730,310,0,3,7,20,4,6,1,5,6,5,4,2,4,,,,
USA,9,Matt Mustard-Brown,446424257,,,1,,,,19,51,860,330,0,2,5,20,4,7,1,4,6,2,6,3,6,,,,
USA,10,Jefferson Long,446424258,,,1,,,,23,98,1350,430,0,3,5,20,6,5,1,6,7,2,4,2,5,,,,
USA,11,Brendan Etherton,446424259,,Technical,1,,,,25,28,880,330,0,4,4,20,7,6,2,5,6,3,5,3,5,,,,
USA,12,Cliff Shrout,446424260,,,1,,,,24,102,830,410,0,4,6,20,5,6,1,4,7,3,4,3,5,,,,
USA,13,Jarrett Fortier,446424261,,,1,,,,21,1,1200,330,0,3,6,20,5,6,1,4,6,6,5,2,5,,,,
USA,14,Liam Collie,446424262,,Unpredictable,1,,,,27,75,1020,290,0,4,2,20,7,6,1,5,5,6,4,4,3,,,,
USA,15,Brandon Bombard,446424263,,,1,,,,22,54,1630,350,0,3,2,20,5,6,1,4,5,7,6,2,4,,,,
USA,16,Efraín Cárdenas,446424264,,,1,,,,19,2,1430,410,0,2,4,20,6,5,1,3,3,6,5,7,6,,,,
USA,17,Devin Edenfield,446424265,,Unpredictable,1,,,,33,46,200,310,0,6,5,20,4,7,1,2,5,3,3,7,5,,,,
USA,18,Javier De la Garza,446424266,,,1,,,,25,99,1130,330,0,4,6,20,6,6,1,2,5,3,6,6,2,,,,
