Nationality,Shirt number,Name,PlayerID,Coach,Speciality,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set pieces,Last match date,Last match rating,Last match position,Category
USA,4,Austin Sanders,446424252,,,1,,,,18,97,860,370,1,2,4,20,5,7,1,7,4,3,4,3,5,10-17-2019,3,FW,
USA,16,Efraín Cárdenas,446424264,,,1,,,,19,8,1580,410,1,2,4,20,6,6,1,3,3,6,5,7,6,10-17-2019,5,FW,
USA,9,Matt Mustard-Brown,446424257,,,1,,,,19,57,960,330,1,2,5,20,5,7,1,4,6,2,6,3,6,10-17-2019,2.5,FW,
USA,13,Jarrett Fortier,446424261,,,1,,,,21,7,1220,330,1,3,6,20,6,6,1,4,6,6,5,2,5,,,,
USA,8,Eleazar Santana,446424256,,Quick,1,,,,21,22,800,310,1,3,7,20,5,6,1,5,6,5,4,2,4,,,,
USA,1,Leider Moncada,446424249,,Quick,1,,,,21,88,2200,990,1,2,1,20,6,5,6,2,1,1,1,1,6,10-17-2019,3,GK,
USA,15,Brandon Bombard,446424263,,,1,,,,22,60,1710,350,1,3,2,20,5,6,1,4,5,7,6,2,4,,,,
USA,10,Jefferson Long,446424258,,,1,,,,23,104,1370,430,1,3,5,20,6,5,1,6,7,2,4,2,5,10-17-2019,3,CD,
USA,12,Cliff Shrout,446424260,,,1,,,,24,108,880,410,1,4,6,20,5,6,1,4,7,3,4,3,5,,,,
USA,11,Brendan Etherton,446424259,,Technical,1,,,,25,34,880,330,1,4,4,20,7,6,2,5,6,3,5,3,5,10-17-2019,4.5,IM,
USA,18,Javier De la Garza,446424266,,,1,,,,25,105,1140,330,1,4,6,20,6,6,1,2,5,3,6,6,2,,,,
USA,6,Daniel Farrington,446424254,,,1,,,,26,19,1170,390,1,4,3,20,6,6,1,7,4,5,3,2,6,10-17-2019,4,IM,
USA,14,Liam Collie,446424262,,Unpredictable,1,,,,27,81,1020,290,1,4,2,20,7,6,1,5,5,6,4,4,3,10-17-2019,4.5,RW,
USA,2,Stuart Bates,446424250,,Powerful,1,,,,27,106,1920,890,1,4,2,20,7,5,6,5,1,1,2,1,2,,,,
USA,3,Kalin Fischer,446424251,,Technical,1,,,,29,5,360,300,1,4,6,20,6,7,1,6,5,3,2,2,4,10-17-2019,3.5,CD,
USA,5,Shane Savoy,446424253,,,1,,,,30,109,210,280,1,5,1,20,5,6,1,6,4,3,2,2,7,10-17-2019,3,CD,
USA,7,Michael Rudolf Umbach,446424255,,Powerful,1,,,,31,90,840,310,1,6,2,20,7,6,2,6,6,5,5,3,6,10-17-2019,4.5,IM,
USA,17,Devin Edenfield,446424265,,Unpredictable,1,,,,33,52,210,310,1,6,5,20,5,7,1,2,5,3,3,7,5,,,,
USA,,Destin Baum,446424248,1,,1,,,,40,44,0,250,1,6,4,20,4,4,2,0,2,2,2,0,4,,,,
